 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hungary,"47,209,471,853.30","53,696,730,223.80","67,561,285,378.70","85,050,281,601.00","103,694,527,827.50","112,589,039,620.20","114,801,188,269.40","139,198,195,460.60","157,290,970,540.90","129,965,360,575.70","130,255,637,530.90","140,091,591,853.00","127,321,135,030.10","134,680,475,647.60","139,294,565,100.60","121,715,203,207.60"
Iceland,"8,946,079,678.40","8,146,073,989.50","9,199,643,908.00","11,304,084,266.50","13,703,315,349.30","16,691,213,479.50","17,043,245,939.00","21,295,012,099.00","17,640,375,722.40","12,887,072,301.20","13,254,818,331.20","14,674,650,434.70","14,218,575,093.00","15,479,256,844.90","17,178,962,757.40","16,783,714,958.40"
India,"462,146,799,337.70","478,965,491,060.80","508,068,952,065.90","599,592,902,016.30","699,688,852,930.30","808,901,077,222.80","920,316,529,729.70","1,201,111,768,410.30","1,186,952,757,636.10","1,323,940,295,874.10","1,656,617,073,124.70","1,823,049,927,772.10","1,827,637,859,136.20","1,856,722,121,394.40","2,035,393,459,980.10","2,111,751,098,184.50"
Indonesia,"165,021,012,077.80","160,446,947,784.90","195,660,611,165.20","234,772,463,823.80","256,836,875,295.50","285,868,618,224.00","364,570,514,304.90","432,216,737,774.90","510,228,635,279.30","539,580,088,908.10","755,094,160,363.10","892,969,107,923.10","917,869,910,105.70","912,524,136,718.00","890,814,755,233.20","861,256,351,277.40"
"Iran, Islamic Rep.","109,591,707,802.20","126,878,750,295.90","128,626,917,503.70","153,544,751,395.40","183,697,185,041.70","219,845,971,945.30","258,645,743,978.40","337,474,485,087.30","397,189,565,318.90","398,978,104,575.30","467,790,215,915.50","592,037,800,186.90","587,209,369,682.70","511,620,875,086.80","425,326,068,422.90","393,436,064,441.70"
Iraq,,,,,"36,627,901,762.10","49,954,890,353.30","65,140,293,687.50","88,840,050,497.10","131,613,661,510.50","111,660,855,042.70","138,516,722,649.60","185,749,664,444.40","218,000,986,222.60","234,648,370,497.40","234,648,370,497.40","179,640,210,726.40"
Ireland,"99,855,067,256.30","109,119,123,042.50","127,941,699,604.70","164,285,609,480.80","193,870,908,865.20","211,684,827,757.70","232,167,519,759.10","270,043,019,436.10","274,919,027,391.20","235,765,976,660.20","221,343,483,668.80","240,590,736,123.30","225,819,189,160.70","239,271,158,532.50","256,271,345,442.60","283,716,006,697.60"
Isle of Man,"1,563,667,799.60","1,614,595,290.90","1,897,606,791.40","2,264,911,806.90","2,758,117,365.00","2,971,167,185.40","3,344,402,193.20","5,685,988,395.40","5,827,468,750.00","5,047,909,331.70","5,420,118,974.00","6,066,454,093.90","6,433,357,030.00","6,754,330,154.80","7,428,280,401.50",
Israel,"132,396,684,080.20","130,751,599,020.40","121,092,701,253.70","126,749,741,990.70","135,418,563,141.50","142,837,533,703.20","154,511,423,313.40","179,564,275,455.80","216,760,312,151.60","208,068,814,688.60","233,754,747,258.60","261,374,751,963.30","257,641,795,689.70","293,314,777,888.60","308,769,389,865.60","299,415,714,726.80"
Italy,"1,141,760,021,927.40","1,162,317,840,447.40","1,266,510,668,643.00","1,569,649,631,715.60","1,798,314,755,525.20","1,852,661,936,077.60","1,942,633,841,801.50","2,203,053,327,128.40","2,390,729,210,487.80","2,185,160,158,794.10","2,125,058,270,201.60","2,276,292,459,232.80","2,072,823,111,961.10","2,130,491,269,673.40","2,151,732,834,411.50","1,824,902,219,021.70"
Jamaica,"8,929,375,580.30","9,087,918,836.80","9,694,161,516.30","9,399,452,787.80","10,150,978,154.50","11,204,416,000.00","11,905,525,197.30","12,824,094,989.90","13,678,551,837.60","12,038,998,756.90","13,192,229,343.10","14,440,457,548.70","14,802,430,172.50","14,276,559,215.70","13,897,561,173.50","14,261,995,113.70"
Japan,"4,887,519,660,744.90","4,303,544,259,842.70","4,115,116,279,069.80","4,445,658,071,221.90","4,815,148,854,362.10","4,755,410,630,912.10","4,530,377,224,970.40","4,515,264,514,430.60","5,037,908,465,114.50","5,231,382,674,593.70","5,700,098,114,744.40","6,157,459,594,823.70","6,203,213,121,334.10","5,155,717,056,270.80","4,848,733,415,523.50","4,383,076,298,081.90"
Jordan,"8,460,424,400.60","8,975,689,844.90","9,582,453,032.40","10,195,660,789.80","11,411,390,409.00","12,588,665,303.20","15,056,929,760.20","17,110,587,447.10","21,972,004,086.20","23,820,230,000.00","26,425,379,436.60","28,840,263,380.30","30,937,277,605.60","33,593,843,662.00","35,826,925,774.60","37,517,410,281.70"
Kazakhstan,"18,291,990,619.10","22,152,689,129.60","24,636,598,581.00","30,833,692,831.40","43,151,647,002.60","57,123,671,733.90","81,003,884,545.40","104,849,886,825.60","133,441,612,246.80","115,308,661,142.90","148,047,348,240.60","192,626,507,971.60","207,998,568,865.80","236,634,552,078.10","221,415,572,819.50","184,388,432,148.70"
Kenya,"12,705,357,103.00","12,986,007,425.90","13,147,743,910.70","14,904,517,649.80","16,095,337,093.80","18,737,897,744.80","25,825,524,820.80","31,958,195,182.20","35,895,153,327.80","37,021,512,048.80","39,999,659,233.80","41,953,433,591.40","50,412,754,822.00","55,097,343,447.60","61,445,345,999.10","63,767,539,356.60"
Kiribati,"67,254,174.40","63,101,272.40","72,196,457.70","90,231,856.80","102,367,039.30","112,133,944.30","108,545,632.50","130,754,915.90","139,125,482.30","130,465,372.00","153,275,912.70","177,142,135.10","188,045,661.60","187,153,601.10","186,066,973.10","160,121,929.20"
"Korea, Dem. Peopleês Rep.",,,,,,,,,,,,,,,,
"Korea, Rep.","561,633,125,840.00","533,052,076,313.50","609,020,054,512.50","680,520,724,062.40","764,880,644,710.60","898,137,194,716.20","1,011,797,457,138.50","1,122,679,154,632.40","1,002,219,052,967.50","901,934,953,364.70","1,094,499,338,702.70","1,202,463,682,633.90","1,222,807,284,485.30","1,305,604,981,271.90","1,411,333,926,201.20","1,382,764,027,113.80"
Kosovo,"1,849,196,082.10","2,535,333,631.90","2,702,427,046.90","3,355,083,116.60","3,639,935,347.50","3,736,599,925.40","4,078,158,323.90","4,833,561,456.30","5,687,488,208.60","5,653,792,720.20","5,829,933,774.80","6,649,291,075.90","6,473,724,784.80","7,072,092,405.70","7,386,891,336.10","6,440,501,275.40"
Kuwait,"37,711,864,406.80","34,890,772,742.10","38,137,545,245.10","47,875,838,926.20","59,440,108,585.00","80,797,945,205.50","101,550,654,720.90","114,641,097,818.40","147,395,833,333.30","105,899,930,507.30","115,419,050,942.10","154,027,536,231.90","174,070,025,008.90","174,161,495,063.50","162,631,763,879.10","114,041,209,704.20"
Kyrgyz Republic,"1,369,693,171.40","1,525,112,241.80","1,605,640,633.40","1,919,012,781.00","2,211,535,311.60","2,460,248,026.20","2,834,168,889.40","3,802,566,170.80","5,139,957,784.90","4,690,062,255.10","4,794,357,795.10","6,197,766,118.60","6,605,139,933.40","7,335,027,591.90","7,468,096,566.70","6,678,178,340.50"
Lao PDR,"1,731,198,022.50","1,768,619,058.30","1,758,176,653.10","2,023,324,407.30","2,366,398,119.90","2,735,558,726.30","3,452,882,514.00","4,222,962,987.50","5,443,915,120.50","5,832,915,387.10","7,127,792,629.60","8,261,299,199.70","10,191,367,558.30","11,942,157,500.40","13,268,297,521.60","14,390,323,462.00"
Latvia,"7,937,758,980.30","8,350,252,966.20","9,546,441,564.30","11,748,433,157.10","14,373,269,155.70","16,922,504,044.80","21,447,021,570.10","30,901,399,261.40","35,596,016,664.20","26,169,854,045.00","23,757,368,290.10","28,223,552,824.80","28,119,996,053.30","30,254,571,077.70","31,352,249,349.60","27,026,037,600.30"
Lebanon,"17,260,364,842.50","17,649,751,243.80","19,152,238,806.00","20,082,918,739.60","20,955,223,880.60","21,287,562,189.10","21,796,351,575.50","24,577,114,427.90","28,829,850,746.30","35,139,635,157.50","38,009,950,248.80","40,078,938,640.10","43,205,095,854.10","44,352,417,910.40","45,730,945,273.60","47,084,703,150.90"
Lesotho,"887,295,262.20","825,706,966.80","775,780,697.30","1,157,832,935.80","1,511,236,652.00","1,682,350,941.50","1,800,105,593.00","1,820,597,205.00","1,868,776,303.10","1,864,004,707.50","2,394,097,298.90","2,791,545,696.40","2,678,243,067.40","2,532,392,022.50","2,520,952,363.40","2,335,194,894.30"
Liberia,"529,064,600.00","521,000,000.00","543,000,000.00","416,000,000.00","474,700,000.00","550,000,000.00","604,028,900.00","739,027,200.00","850,040,500.00","1,155,147,400.00","1,292,697,100.00","1,545,400,000.00","1,735,500,000.00","1,946,500,000.00","2,013,000,000.00","2,034,000,000.00"
Libya,"38,270,206,950.40","34,110,064,452.20","20,481,889,763.80","26,265,625,000.00","33,122,307,692.30","47,334,148,578.40","54,961,936,662.60","67,516,236,337.70","87,140,405,361.20","63,028,320,702.00","74,773,444,900.50","34,699,395,523.60",,,,
Liechtenstein,"2,483,953,102.80","2,491,822,706.80","2,688,630,822.50","3,070,691,319.50","3,454,362,686.00","3,659,251,525.90","4,000,239,272.60","4,601,299,566.80","5,081,432,924.00","4,504,549,214.20","5,082,366,478.10","5,739,977,477.50","5,456,009,384.70","6,391,735,893.80","6,663,501,418.90",
Lithuania,"11,539,211,480.40","12,252,498,921.00","14,278,357,283.70","18,802,576,988.20","22,649,930,576.30","26,125,575,942.30","30,216,060,233.40","39,738,180,076.60","47,850,551,148.80","37,440,673,477.90","37,120,517,693.90","43,476,878,139.30","42,847,900,765.80","46,473,646,001.60","48,545,251,795.60","41,402,022,148.20"
Luxembourg,"21,263,514,833.20","21,272,418,791.90","23,616,328,816.10","29,557,325,056.40","34,685,281,847.50","37,347,394,602.70","42,414,308,116.90","50,888,134,410.10","55,849,686,538.70","51,370,543,206.40","53,212,476,812.30","60,004,630,234.40","56,677,961,787.10","61,808,178,300.10","66,298,060,521.80","58,048,242,436.10"
"Macao SAR, China","6,720,492,405.80","6,811,227,982.80","7,322,677,820.10","8,195,033,162.10","10,585,624,890.90","12,092,222,041.90","14,789,661,809.20","18,340,447,243.00","20,917,444,919.60","21,475,520,709.40","28,123,640,998.70","36,709,860,068.30","43,031,577,366.40","51,552,075,901.50","55,347,998,647.80","45,415,278,647.50"
"Macedonia, FYR","3,772,851,420.20","3,709,637,829.90","4,018,365,247.40","4,946,292,774.80","5,682,719,260.10","6,258,600,713.80","6,861,222,332.00","8,336,478,142.10","9,909,548,410.80","9,401,731,495.70","9,407,168,702.40","10,494,632,699.40","9,745,251,126.00","10,817,712,138.90","11,362,272,837.90","10,051,659,161.20"
Madagascar,"3,877,673,539.10","4,529,575,347.60","4,397,254,607.60","5,474,030,080.20","4,363,934,494.40","5,039,293,030.80","5,515,884,348.50","7,342,923,489.10","9,413,002,921.00","8,550,363,974.80","8,729,936,135.70","9,892,702,357.60","9,919,780,071.30","10,601,690,871.80","10,673,516,672.70","9,738,652,322.20"
Malawi,"1,743,506,287.40","1,716,502,862.30","3,495,748,397.60","3,208,837,077.30","3,476,094,498.90","3,655,909,664.10","3,997,852,636.20","4,432,192,843.60","5,320,925,102.30","6,190,991,712.10","6,959,697,194.00","8,003,300,198.30","6,028,470,988.50","5,518,901,971.40","6,054,750,320.30","6,373,201,160.00"
Malaysia,"93,789,736,842.10","92,783,947,368.40","100,845,263,157.90","110,202,368,421.10","124,749,736,842.10","143,534,102,611.50","162,690,965,596.20","193,547,824,063.30","230,813,597,937.50","202,257,586,267.60","255,016,609,232.90","297,951,960,784.30","314,442,825,692.80","323,276,841,537.30","338,068,990,803.30","296,283,190,372.60"
Maldives,"624,337,145.30","870,179,738.60","897,031,250.00","1,043,403,343.80","1,202,240,023.40","1,119,806,500.00","1,474,698,125.00","1,745,998,937.50","2,109,960,937.50","2,149,257,812.50","2,323,401,757.80","2,449,576,516.90","2,518,312,129.00","2,795,147,949.80","3,094,197,810.20","3,435,244,658.80"
Mali,"2,954,129,565.80","3,465,305,993.50","3,889,758,023.70","4,703,504,466.50","5,444,474,268.40","6,245,031,690.10","6,899,799,785.80","8,145,694,631.90","9,750,822,511.50","10,181,021,770.40","10,678,749,467.50","12,978,107,560.60","12,442,747,897.20","12,813,248,724.80","14,004,067,516.40","12,746,688,961.80"
Malta,"4,306,192,435.80","4,331,870,647.70","4,689,832,689.80","5,456,583,589.40","6,062,780,269.10","6,394,851,386.60","6,757,119,558.40","7,880,509,170.50","8,977,149,553.20","8,528,202,278.40","8,741,059,602.60","9,500,001,983.40","9,198,987,219.70","10,131,419,449.00","11,188,785,252.80","10,287,007,021.20"
Marshall Islands,"110,937,700.00","115,152,100.00","124,735,100.00","126,887,600.00","131,106,400.00","137,744,500.00","143,656,600.00","150,851,598.30","152,901,100.00","152,631,200.00","164,751,300.00","172,674,900.00","185,055,800.00","190,992,000.00","183,114,100.00","179,432,600.00"
Mauritania,"1,293,654,175.20","1,295,539,448.40","1,324,426,606.60","1,563,074,859.50","1,833,444,740.40","2,184,444,849.00","3,040,716,679.10","3,356,757,497.10","3,978,425,730.70","3,670,515,695.70","4,343,665,119.90","5,179,689,613.50","5,225,532,807.30","5,724,227,536.50","5,391,475,878.10","4,844,223,517.90"
Mauritius,"4,582,555,124.60","4,536,538,210.70","4,767,303,154.00","5,609,831,328.10","6,385,695,187.00","6,283,803,256.00","7,028,803,365.70","8,150,138,757.20","9,990,370,016.30","9,128,843,109.20","10,003,670,690.30","11,518,393,367.20","11,668,685,524.10","12,129,642,296.40","12,803,445,933.60","11,681,761,261.00"
Mexico,"683,647,965,227.00","724,703,603,502.30","741,559,509,631.30","713,284,231,624.80","770,267,585,947.20","866,345,821,213.30","965,281,191,371.80","1,043,471,321,169.10","1,101,275,278,668.80","894,948,748,436.70","1,051,128,603,513.80","1,171,187,519,660.60","1,186,598,324,461.80","1,261,981,728,468.50","1,298,398,654,278.70","1,151,037,122,909.10"
"Micronesia, Fed. Sts.","233,226,300.00","240,051,900.00","241,543,400.00","244,991,000.00","239,563,300.00","249,845,600.00","252,991,200.00","255,890,800.00","261,339,600.00","277,510,900.00","294,117,200.00","310,287,500.00","325,835,200.00","315,725,600.00","318,072,000.00","314,971,100.00"
Moldova,"1,288,429,150.50","1,480,656,884.40","1,661,818,168.40","1,980,901,553.50","2,598,231,467.40","2,988,338,439.30","3,408,272,498.10","4,401,154,128.10","6,054,806,100.80","5,439,422,031.40","5,811,604,052.00","7,015,206,498.20","7,284,686,576.30","7,985,349,731.50","7,983,271,110.60","6,512,899,540.30"
Monaco,"2,647,883,820.20","2,671,401,082.80","2,905,973,022.20","3,588,988,600.70","4,110,348,444.50","4,280,072,626.00","4,663,488,363.10","5,974,371,696.00","6,919,241,412.10","5,557,245,122.30","5,350,674,803.30","6,074,884,388.60",,,,
Mongolia,"1,136,896,123.60","1,267,997,934.30","1,396,555,720.00","1,595,297,355.80","1,992,066,808.10","2,523,471,532.00","3,414,055,566.10","4,234,999,823.30","5,623,216,448.90","4,583,850,367.90","7,189,481,853.10","10,409,797,610.30","12,292,770,631.20","12,582,122,604.20","12,226,514,746.10","11,741,338,841.10"
Montenegro,"984,279,598.30","1,159,860,290.20","1,284,446,123.30","1,707,678,389.70","2,073,255,525.20","2,257,174,480.80","2,696,020,574.60","3,668,857,103.80","4,519,731,946.70","4,141,382,328.40","4,139,192,053.00","4,538,198,498.70","4,087,724,527.80","4,464,260,488.60","4,587,928,884.20","4,019,889,098.40"
Morocco,"38,857,251,336.30","39,459,581,217.40","42,236,836,820.60","52,064,058,834.00","59,626,020,162.40","62,343,022,650.90","68,640,825,480.90","79,041,294,874.50","92,507,257,783.60","92,897,320,375.80","93,216,746,661.60","101,370,474,295.10","98,266,306,615.40","106,825,649,872.10","109,881,398,475.00","100,593,283,696.70"
Mozambique,"5,016,469,068.50","4,766,928,746.70","5,031,510,908.90","5,597,367,853.40","6,831,808,930.40","7,723,846,194.90","8,312,078,525.10","9,366,742,309.50","11,494,837,053.40","10,911,698,208.10","10,154,238,250.20","13,131,168,011.80","14,534,278,446.30","16,018,848,990.70","16,961,127,045.80","14,798,399,861.60"
Myanmar,"8,905,066,163.60","6,477,790,688.20","6,777,632,512.10","10,467,109,977.70","10,567,354,056.40","11,986,972,418.50","14,502,553,709.80","20,182,477,480.60","31,862,554,101.90","36,906,181,380.80","49,540,813,342.50","59,977,326,086.00","59,731,122,170.10","60,132,854,536.80","65,574,726,566.40","62,600,906,116.10"
Namibia,"3,908,661,517.60","3,546,783,708.10","3,361,251,197.70","4,931,312,147.20","6,606,858,786.00","7,261,333,794.60","7,978,734,401.50","8,740,865,600.20","8,486,721,916.90","8,876,191,120.80","11,282,192,605.00","12,409,629,835.70","13,016,272,898.90","12,713,366,873.50","12,853,963,142.80","11,491,507,355.60"
Nauru,,,,,,,,"20,432,742.10","39,333,572.30","44,290,951.90","49,248,810.60","72,751,801.00","103,811,958.80","108,601,538.50","117,020,381.90","100,459,782.60"
Nepal,"5,494,252,207.90","6,007,061,224.50","6,050,875,806.70","6,330,473,096.50","7,273,938,314.70","8,130,258,041.50","9,043,715,355.90","10,325,618,017.40","12,545,438,605.40","12,854,985,464.10","16,002,656,434.50","18,913,574,370.80","18,851,513,891.10","19,271,168,018.50","20,002,968,837.90","21,313,549,578.70"
Netherlands,"412,807,259,996.30","426,573,601,789.70","465,368,906,455.90","571,863,431,151.20","650,532,654,581.60","678,533,764,457.20","726,649,102,998.40","839,419,655,078.00","936,228,211,513.10","857,932,759,099.80","836,389,937,229.20","893,757,287,201.70","828,946,812,396.80","866,680,000,367.30","879,635,084,125.00","750,318,056,805.60"
New Caledonia,"2,682,347,064.40",,,,,,,,,,,,,,,
New Zealand,"52,623,281,956.70","53,872,425,916.60","66,628,222,189.40","88,250,885,550.30","103,905,882,352.90","114,719,425,473.50","111,606,899,682.30","137,314,617,476.30","133,279,679,482.70","121,337,372,727.80","146,580,949,348.90","168,461,998,741.30","176,192,886,551.40","190,521,142,196.40","200,696,291,790.00","175,564,427,552.80"
Nicaragua,"5,107,329,007.10","5,323,146,565.70","5,224,213,017.50","5,322,454,925.80","5,795,568,204.60","6,321,335,612.20","6,763,671,610.70","7,423,377,429.10","8,496,965,842.30","8,298,695,144.90","8,758,622,328.70","9,774,316,692.20","10,532,001,129.70","10,982,972,256.40","11,880,438,824.40","12,747,741,539.70"
Niger,"1,798,374,468.40","1,945,327,564.70","2,170,481,508.90","2,731,416,346.50","3,052,898,739.50","3,405,134,831.90","3,646,728,060.10","4,291,363,390.90","5,403,363,917.30","5,397,121,856.40","5,718,589,799.20","6,409,169,889.50","6,942,209,594.60","7,667,951,987.70","8,245,312,136.60","7,142,951,342.40"
Nigeria,"46,386,011,231.40","44,137,994,251.60","59,116,847,821.60","67,655,813,930.10","87,845,420,504.50","112,248,353,104.90","145,429,764,861.20","166,451,213,395.60","208,064,753,766.50","169,481,317,540.40","369,062,464,570.40","411,743,801,711.60","460,953,836,444.40","514,966,287,206.50","568,498,939,784.00","481,066,152,870.30"
Northern Mariana Islands,,,"1,284,000,000.00","1,239,000,000.00","1,210,000,000.00","1,061,000,000.00","990,000,000.00","938,000,000.00","939,000,000.00","795,000,000.00","799,000,000.00","733,000,000.00","751,000,000.00","780,000,000.00","836,000,000.00","922,000,000.00"
Norway,"171,315,639,982.70","174,003,247,439.30","195,418,347,153.00","228,752,436,371.90","264,357,494,659.40","308,722,079,937.90","345,424,664,369.40","400,883,873,279.10","461,946,808,510.60","386,383,919,342.30","428,527,064,662.90","498,156,756,965.10","509,704,856,037.80","522,746,212,766.00","498,339,751,388.50","386,578,443,732.60"
Oman,"19,507,412,223.70","19,452,015,604.70","20,142,782,834.90","21,633,810,143.00","24,763,589,076.70","31,081,924,577.40","37,215,864,759.40","42,085,305,591.70","60,905,331,599.50","48,388,296,488.90","58,641,621,957.90","67,937,307,405.10","76,689,583,316.90","78,938,585,285.70","81,034,395,037.50","69,831,770,995.50"
Pakistan,"73,952,374,969.80","72,309,738,921.30","72,306,820,396.20","83,244,801,092.70","97,977,766,197.70","109,502,102,510.90","137,264,061,106.00","152,385,716,311.90","170,077,814,106.30","168,152,775,283.00","177,406,854,514.90","213,587,413,184.00","224,383,620,829.60","231,218,567,179.00","244,360,888,750.80","271,049,886,672.70"
Palau,"149,300,000.00","160,000,000.00","163,500,000.00","159,900,000.00","175,300,000.00","193,300,000.00","194,700,000.00","196,000,000.00","198,100,000.00","186,400,000.00","183,800,000.00","199,900,000.00","214,200,000.00","228,700,000.00","250,900,000.00","287,400,000.00"
Panama,"12,304,115,000.00","12,502,013,400.00","12,994,310,400.00","13,693,981,200.00","15,013,381,700.00","16,374,393,900.00","18,141,666,300.00","20,958,000,000.00","24,522,200,000.00","26,593,500,000.00","28,917,200,000.00","34,373,820,500.00","39,954,761,200.00","44,856,189,500.00","49,165,773,100.00","52,132,289,700.00"
Papua New Guinea,"3,521,348,154.80","3,081,029,666.00","2,999,542,369.40","3,536,459,111.20","3,927,114,465.90","4,865,971,718.30","5,527,856,839.10","6,340,673,793.50","8,000,074,071.30","8,105,331,929.90","9,716,103,409.00","12,873,049,346.30","15,391,629,871.40","15,413,163,674.90","16,928,680,397.40",
Paraguay,"8,195,993,230.70","7,662,595,075.90","6,325,151,760.10","6,588,103,836.30","8,033,877,360.40","8,734,653,809.50","10,646,157,920.30","13,794,910,633.90","18,504,130,753.00","15,929,902,138.10","20,030,528,042.90","25,099,681,460.90","24,595,319,573.80","28,965,906,502.20","30,881,166,852.30","27,282,581,335.80"
Peru,"51,744,749,133.20","52,030,158,775.40","54,777,553,515.10","58,731,030,121.90","66,768,703,497.60","76,060,606,060.60","88,643,193,061.70","102,170,981,144.10","120,550,599,815.40","120,822,986,521.50","147,528,937,028.80","171,761,737,046.60","192,648,999,090.10","201,217,661,645.50","201,049,665,375.10","189,212,096,470.30"
Philippines,"81,026,297,144.30","76,262,072,022.20","81,357,602,950.20","83,908,206,456.10","91,371,239,764.90","103,071,585,462.60","122,210,719,245.90","149,359,920,005.90","174,195,135,053.10","168,334,599,538.20","199,590,774,784.60","224,143,083,706.80","250,092,093,547.50","271,836,123,723.70","284,584,522,898.90","292,774,099,014.20"
Poland,"171,885,598,582.60","190,521,263,343.00","198,680,637,254.90","217,518,642,324.50","255,102,252,843.40","306,134,635,593.70","344,826,430,298.10","429,249,647,594.60","533,815,789,473.70","439,796,160,379.50","479,321,128,909.20","528,819,945,375.40","500,344,281,382.30","524,214,789,308.00","545,151,778,520.40","477,336,782,066.60"
Portugal,"118,358,489,957.60","121,545,880,984.30","134,228,697,534.40","164,964,195,259.60","189,187,437,298.20","197,304,513,120.30","208,566,948,939.90","240,169,336,162.10","262,007,590,449.70","243,745,748,819.10","238,303,443,425.20","244,895,101,712.50","216,368,178,659.40","226,073,492,966.50","229,629,822,121.60","199,082,291,239.30"
Puerto Rico,"61,701,810,000.00","69,668,635,000.00","72,546,194,000.00","75,833,996,000.00","80,322,313,000.00","83,914,521,340.50","87,276,164,364.60","89,524,131,617.20","93,639,316,000.00","96,385,638,000.00","98,381,268,000.00","100,351,670,000.00","101,080,738,000.00","103,134,778,000.00",,
Qatar,"17,759,890,109.90","17,538,461,538.50","19,363,736,263.70","23,533,791,208.80","31,734,065,934.10","44,530,494,505.50","60,882,142,857.10","79,712,087,912.10","115,270,054,945.10","97,798,351,648.40","125,122,306,346.20","167,775,274,725.30","186,833,516,483.50","198,727,747,252.70","206,224,725,274.70","164,641,483,516.50"
Romania,"37,438,527,799.50","40,716,836,998.00","46,174,557,555.60","59,867,801,204.80","76,216,441,462.10","99,697,566,667.80","123,533,036,667.90","171,536,685,395.60","208,181,626,900.60","167,422,949,529.40","167,998,080,493.40","185,362,855,081.00","171,664,638,717.50","191,549,024,910.60","199,493,490,982.90","177,522,705,145.20"
Russian Federation,"259,708,496,267.30","306,602,673,980.10","345,110,438,692.20","430,347,770,731.80","591,016,690,742.80","764,017,107,992.40","989,930,542,278.70","1,299,705,247,685.80","1,660,844,408,499.60","1,222,643,696,991.90","1,524,916,112,078.90","2,031,768,558,635.90","2,170,143,623,037.70","2,230,625,004,653.60","2,063,662,281,005.10","1,365,865,245,098.20"
Rwanda,"1,734,938,264.50","1,674,685,094.00","1,677,447,150.10","1,845,979,299.00","2,089,188,828.80","2,581,465,863.90","3,152,016,556.50","3,824,811,913.20","4,860,576,609.20","5,379,378,135.40","5,774,003,744.30","6,491,683,831.50","7,315,702,176.40","7,622,526,429.10","8,016,288,347.00","8,261,034,257.60"
Samoa,"269,019,710.30","273,088,357.20","288,078,881.40","338,838,639.40","420,320,176.40","462,644,663.10","508,505,414.40","550,967,295.30","644,143,266.20","560,967,765.50","643,056,627.70","739,777,274.10","801,152,293.30","804,816,205.70","803,574,789.10","803,976,511.50"
San Marino,"773,907,642.40","815,205,233.10","879,957,209.90","1,122,981,525.40","1,317,357,834.60","1,375,416,604.50","1,469,000,145.30","1,687,567,364.10","1,899,879,955.50",,,,,,,
Sao Tome and Principe,,"72,230,284.40","80,531,992.10","96,343,906.40","105,360,801.90","126,194,166.20","134,441,116.90","145,827,429.60","188,021,168.80","187,821,029.00","197,454,053.10","233,213,522.60","252,560,557.10","302,925,489.70","348,463,457.90","317,696,178.70"
Saudi Arabia,"189,514,926,222.70","184,137,469,724.90","189,605,920,240.50","215,807,655,244.40","258,742,133,333.30","328,459,608,764.10","376,900,133,511.30","415,964,509,673.10","519,796,800,000.00","429,097,866,666.70","528,207,200,000.00","671,238,840,108.20","735,974,843,348.70","746,647,127,407.60","756,350,347,320.40","654,269,902,888.70"
Senegal,"4,679,604,753.60","4,877,602,059.50","5,333,862,371.30","6,858,952,880.10","8,031,344,381.10","8,707,015,771.00","9,358,710,935.40","11,284,603,070.60","13,428,461,873.60","12,809,044,977.60","12,937,300,245.20","14,368,348,214.20","14,202,389,641.90","14,810,978,041.50","15,308,965,398.60","13,609,978,076.40"
Serbia,"6,540,247,190.30","12,267,175,481.30","16,116,843,146.50","21,188,704,081.20","24,861,483,280.60","26,252,007,830.50","30,607,991,862.50","40,289,556,656.10","49,259,526,052.70","42,616,653,299.90","39,460,357,730.50","46,466,728,666.60","40,742,313,861.10","45,519,650,911.40","44,210,806,365.70","37,160,332,465.20"
Seychelles,"614,879,764.80","622,262,057.20","697,518,248.20","705,704,816.00","839,319,927.30","919,103,254.50","1,016,418,229.30","1,033,561,654.10","967,199,594.00","847,397,850.10","969,936,525.30","1,065,826,669.90","1,134,267,367.20","1,411,061,260.70","1,422,530,791.60","1,437,722,206.40"
Sierra Leone,"635,874,002.20","1,079,478,387.80","1,239,004,287.80","1,371,442,565.70","1,431,208,677.30","1,627,854,494.80","1,885,112,201.90","2,158,496,872.90","2,505,458,705.00","2,489,985,963.20","2,616,610,911.10","2,942,546,781.00","3,801,862,611.40","4,920,343,195.00","5,015,157,815.70","4,251,779,857.00"
Singapore,"95,833,932,714.60","89,286,208,628.70","91,941,192,896.20","97,001,377,568.60","114,188,557,567.20","127,417,688,055.80","147,797,218,201.30","179,981,288,567.40","192,225,881,687.80","192,408,387,762.10","236,421,782,178.20","275,599,459,373.50","289,162,118,908.50","302,510,668,904.30","308,142,766,948.10","296,840,704,102.40"
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,
Slovak Republic,"29,114,875,621.90","30,703,017,449.70","35,083,608,131.00","46,731,767,494.40","57,240,535,137.80","62,697,540,107.00","70,596,729,394.10","86,304,245,825.30","100,324,627,215.50","88,945,625,173.70","89,501,012,915.70","98,181,259,740.10","93,413,992,955.90","98,478,349,315.30","100,760,596,988.20","87,267,593,788.20"
Slovenia,"20,342,201,356.00","20,875,387,068.10","23,563,576,758.10","29,697,448,108.30","34,470,227,453.90","36,346,974,008.20","39,587,732,028.60","48,114,688,201.50","55,589,849,128.50","50,244,793,831.60","48,013,606,745.50","51,290,792,018.10","46,258,247,574.80","47,688,566,993.10","49,530,147,015.90","42,776,716,631.10"
