 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belize,"832,072,450.00","871,860,600.00","932,551,850.00","990,374,050.00","1,057,845,500.00","1,114,222,550.00","1,217,467,600.00","1,290,573,400.00","1,368,625,150.00","1,336,957,250.00","1,397,113,450.00","1,486,712,300.00","1,573,618,750.00","1,613,705,850.00","1,706,497,950.00","1,742,545,900.00"
Benin,"2,569,186,642.90","2,680,213,931.50","3,054,571,081.70","3,905,366,187.90","4,521,424,807.20","4,803,702,821.10","5,142,380,779.40","5,969,535,131.60","7,132,787,396.70","7,097,198,711.60","6,970,240,895.50","7,814,081,155.60","8,152,554,487.30","9,156,748,441.40","9,707,432,015.60","8,290,986,804.50"
Bermuda,"3,480,219,000.00","3,680,483,000.00","3,937,228,000.00","4,186,525,000.00","4,484,703,000.00","4,868,136,000.00","5,414,299,000.00","5,895,048,000.00","6,109,928,000.00","5,806,378,000.00","5,744,414,000.00","5,550,771,000.00","5,537,537,000.00","5,573,710,000.00",,
Bhutan,"439,158,233.20","476,360,697.20","537,050,133.70","622,026,107.80","702,682,019.00","818,869,145.10","897,731,524.90","1,196,091,805.00","1,258,332,337.30","1,264,758,198.00","1,585,472,534.10","1,820,207,625.80","1,823,692,109.60","1,798,333,725.80","1,958,819,915.00","2,057,947,621.20"
Bolivia,"8,397,912,509.10","8,141,537,937.60","7,905,485,216.20","8,082,364,868.40","8,773,451,738.90","9,549,077,869.10","11,451,869,164.70","13,120,159,975.50","16,674,324,634.20","17,339,992,165.20","19,649,631,308.20","23,963,033,443.90","27,084,497,539.80","30,659,338,929.10","32,996,187,988.40","33,000,198,263.40"
Bosnia and Herzegovina,"5,505,984,456.00","5,748,990,666.20","6,651,226,179.00","8,370,020,196.20","10,022,840,634.90","11,225,138,297.20","12,866,524,918.20","15,776,422,673.20","19,101,454,463.80","17,600,630,726.60","17,164,279,813.10","18,629,346,790.80","17,207,367,625.80","18,154,290,272.20","18,521,475,376.50","16,173,806,634.50"
Botswana,"5,788,329,609.20","5,489,608,299.70","5,438,857,106.70","7,511,582,173.40","8,957,467,706.50","9,931,134,940.50","10,126,940,513.30","10,939,053,367.20","10,945,070,441.90","10,267,133,177.70","12,786,654,365.90","15,682,926,890.00","14,686,278,713.50","14,915,780,533.10","16,259,445,049.80","14,430,608,463.40"
Brazil,"655,421,153,320.60","559,372,502,338.20","507,962,741,819.90","558,320,116,997.10","669,316,239,316.20","891,629,970,423.90","1,107,640,325,472.40","1,397,084,381,901.30","1,695,824,517,395.60","1,667,019,605,881.80","2,208,871,646,202.80","2,616,201,578,192.30","2,465,188,674,415.00","2,472,806,919,901.70","2,455,993,200,170.00","1,803,652,649,613.80"
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei Darussalam,"6,001,153,306.30","5,601,090,584.40","5,843,329,107.60","6,557,333,084.60","7,872,333,215.00","9,531,402,847.90","11,470,703,002.10","12,247,694,247.20","14,393,099,068.60","10,732,366,286.30","13,707,370,737.10","18,525,319,977.70","19,048,495,518.60","18,093,829,923.30","17,123,125,493.30","12,930,394,937.80"
Bulgaria,"13,148,099,185.20","14,135,393,875.60","16,360,346,653.80","21,074,775,206.30","26,094,622,563.60","29,821,662,537.30","34,304,448,149.80","44,765,733,380.00","54,666,642,734.30","51,783,454,183.60","50,610,031,135.80","57,418,391,041.60","53,903,028,252.30","55,758,744,571.10","56,732,006,512.00","50,199,117,547.00"
Burkina Faso,"2,628,920,056.10","2,812,845,513.60","3,205,592,289.80","4,205,691,222.10","4,838,551,099.70","5,462,709,498.50","5,844,669,845.50","6,771,277,871.00","8,369,637,065.40","8,369,175,126.30","8,979,966,766.10","10,724,061,338.60","11,166,061,507.80","11,934,606,509.60","12,400,688,571.10","11,148,759,324.50"
Burundi,"870,486,065.90","876,794,723.10","825,394,490.20","784,654,423.60","915,257,323.40","1,117,257,279.50","1,273,180,597.00","1,356,078,278.20","1,611,634,331.60","1,739,781,488.70","2,026,864,469.40","2,355,652,125.90","2,472,384,907.00","2,714,505,634.50","3,093,647,226.80","3,097,324,739.80"
Cabo Verde,"539,227,277.60","563,024,383.30","620,974,660.20","813,963,830.20","924,318,490.80","971,977,088.20","1,107,891,063.40","1,513,934,037.20","1,789,333,748.70","1,711,817,181.50","1,664,310,769.60","1,864,824,080.70","1,751,888,561.70","1,850,951,315.50","1,858,121,723.20","1,574,288,667.70"
Cambodia,"3,654,031,716.30","3,984,000,517.00","4,284,028,482.50","4,658,246,918.30","5,337,833,248.00","6,293,046,161.80","7,274,595,706.70","8,639,235,842.20","10,351,914,093.20","10,401,851,850.60","11,242,275,199.00","12,829,541,141.00","14,038,383,450.20","15,449,630,418.50","16,777,820,332.70","18,049,954,289.40"
Cameroon,"9,287,367,235.30","9,633,109,349.60","10,879,778,384.20","13,621,738,837.20","15,775,357,014.60","16,587,858,856.70","17,953,066,721.10","20,431,780,377.90","23,322,254,113.60","23,381,142,146.60","23,622,483,983.70","26,587,311,527.60","26,472,056,037.80","29,567,504,655.50","32,050,817,633.00","28,415,950,981.40"
Canada,"742,293,448,252.60","736,379,777,892.60","757,950,678,646.50","892,380,986,367.90","1,023,196,003,074.60","1,169,357,979,864.70","1,315,415,197,461.20","1,464,977,190,205.80","1,549,131,208,997.20","1,371,153,004,986.40","1,613,464,422,811.10","1,788,647,906,047.80","1,824,288,757,447.60","1,842,628,005,830.20","1,792,883,225,804.40","1,552,807,652,015.40"
Cayman Islands,,,,,,,"3,207,032,512.90",,,,,,,,,
Central African Republic,"914,500,299.10","931,833,302.80","991,387,870.10","1,139,754,799.20","1,270,080,250.70","1,350,301,057.10","1,460,562,038.40","1,698,125,617.90","1,985,239,276.60","1,981,728,140.80","1,986,014,845.60","2,212,699,746.80","2,184,183,758.30","1,518,565,219.00","1,702,898,939.60","1,583,776,760.00"
Chad,"1,385,058,161.80","1,709,347,793.30","1,987,622,279.10","2,736,666,515.80","4,414,929,220.00","6,646,663,561.30","7,422,102,656.00","8,638,711,442.80","10,351,932,604.40","9,253,484,108.50","10,657,705,536.50","12,156,380,425.10","12,368,071,038.70","12,949,854,262.80","13,922,223,233.50","10,888,798,113.80"
